0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:54:02 -0300] "GET /primefaces-responsivo/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:54:02 -0300] "GET /primefaces-responsivo/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:54:02 -0300] "GET /primefaces-responsivo/javax.faces.resource/javascripts/app.js.xhtml?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:54:02 -0300] "GET /primefaces-responsivo/javax.faces.resource/images/logo.png.xhtml?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:54:02 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/components.css.xhtml?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:54:04 -0300] "GET /primefaces-responsivo/javax.faces.resource/fa/fontawesome-webfont.woff2.xhtml?ln=primefaces&v=5.3?v=4.3.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:54:05 -0300] "GET /primefaces-responsivo/javax.faces.resource/images/ui-icons_333333_256x240.png.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:54:08 -0300] "POST /primefaces-responsivo/CadastroCliente.xhtml HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:55:01 -0300] "GET /primefaces-responsivo/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:55:01 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/custom.css.xhtml?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:55:01 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/layout.css.xhtml?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:55:01 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/components.css.xhtml?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:55:01 -0300] "GET /primefaces-responsivo/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:55:01 -0300] "GET /primefaces-responsivo/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:55:01 -0300] "GET /primefaces-responsivo/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:55:01 -0300] "GET /primefaces-responsivo/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:55:01 -0300] "GET /primefaces-responsivo/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:55:01 -0300] "GET /primefaces-responsivo/javax.faces.resource/images/logo.png.xhtml?ln=algaworks HTTP/1.1" 304 -
